220,pop-race-other,pop-race-other,6,count,count
219,pop-race-pacific_islander,pop-race-pacific_islander,5,count,count
218,houseunit-total-total_occupied_housing_units,houseunit-total-total_occupied_housing_units,1,count,count
217,houseunit-total-total_vacant_housing_units,houseunit-total-total_vacant_housing_units,1,count,count
216,pop-age-age_over_85,pop-age-age_over_85,13,count,count
197,pop-race-total_pop_white,pop-race-total_pop_white,1,count,count
196,household-total-total_household,household-total-total_household,1,count,count
195,pop-total-18_and_over,pop-total-18_and_over,1,count,count
194,Over 65,pop-total-over_65,1,people,count
193,35 Or More,houseunit-smocapi-35_or_more,1,occupied housing units,count
192,30 To 35,houseunit-smocapi-30_to_35,1,occupied housing units,count
191,25 To 30,houseunit-smocapi-25_to_30,1,occupied housing units,count
190,20 To 25,houseunit-smocapi-20_to_25,1,occupied housing units,count
189,Less Than 20,houseunit-smocapi-less_than_20,1,occupied housing units,count
188,35 Or More,houseunit-grapi-35_or_more,1,renter occupied housing units,count
187,30 To 35,houseunit-grapi-30_to_35,1,renter occupied housing units,count
186,25 To 30,houseunit-grapi-25_to_30,1,renter occupied housing units,count
185,20 To 25,houseunit-grapi-20_to_25,1,renter occupied housing units,count
184,15 To 20,houseunit-grapi-15_to_20,1,renter occupied housing units,count
183,Less Than 15,houseunit-grapi-less_than_15,1,renter occupied housing units,count
182,Rental Vacancy Rate,houseunit-total-rental_vacancy_rate,1,percent,mean
181,Millennials,pop-generation-millennial,2,people,count
180,Built 1939 Or Earlier,houseunit-building_age-built_1939_or_earlier,1,housing units,count
179,Built 1940 To 1949,houseunit-building_age-built_1940_to_1949,2,housing units,count
178,Built 1950 To 1959,houseunit-building_age-built_1950_to_1959,3,housing units,count
177,Built 1960 To 1969,houseunit-building_age-built_1960_to_1969,4,housing units,count
176,Built 1970 To 1979,houseunit-building_age-built_1970_to_1979,5,housing units,count
175,Built 1980 To 1989,houseunit-building_age-built_1980_to_1989,6,housing units,count
174,Built 1990 To 1999,houseunit-building_age-built_1990_to_1999,7,housing units,count
173,Built 2000 To 2009,houseunit-building_age-built_2000_to_2009,8,housing units,count
172,Built 2010 Or Later,houseunit-building_age-built_2010_or_later,9,housing units,count
166,Matures,pop-generation-silent_generation,5,people,count
165,Baby Boomers,pop-generation-baby_boomer,4,people,count
164,Gen X,pop-generation-generation_x,3,people,count
